t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
2160,2.549545,2.549472,2.549225,2.548717,2.547783,2.546144,2.543362,2.538781,2.531470,2.520168,2.503248,2.478731,2.444356,2.397710,2.336437,2.258498,2.162451,2.047718,1.914779,1.765251,1.601845
2220,2.549408,2.549318,2.549019,2.548412,2.547315,2.545422,2.542264,2.537152,2.529122,2.516890,2.498829,2.472988,2.437173,2.389079,2.326494,2.247545,2.150959,2.036296,1.904126,1.756083,1.594868
2280,2.549238,2.549130,2.548772,2.548055,2.546777,2.544608,2.541050,2.535380,2.526606,2.513427,2.494222,2.467073,2.429856,2.380372,2.316551,2.236675,2.139625,2.025090,1.893718,1.747172,1.588096
2340,2.549033,2.548904,2.548479,2.547638,2.546163,2.543697,2.539713,2.533460,2.523920,2.509783,2.489434,2.460995,2.422414,2.371601,2.306616,2.225893,2.128453,2.014102,1.883558,1.738494,1.581517
2400,2.548785,2.548633,2.548134,2.547158,2.545467,2.542683,2.538249,2.531389,2.521066,2.505958,2.484469,2.454761,2.414857,2.362772,2.296695,2.215198,2.117434,2.003316,1.873624,1.730046,1.575136
2460,2.548491,2.548312,2.547731,2.546607,2.544684,2.541560,2.536655,2.529166,2.518041,2.501957,2.479333,2.448380,2.407194,2.353894,2.286794,2.204594,2.106573,1.992736,1.863920,1.721815,1.568941
2520,2.548143,2.547936,2.547266,2.545981,2.543807,2.540324,2.534925,2.526789,2.514848,2.497781,2.474032,2.441859,2.399433,2.344975,2.276917,2.194083,2.095862,1.982349,1.854429,1.713799,1.562921
2580,2.547736,2.547498,2.546730,2.545272,2.542832,2.538969,2.533057,2.524254,2.511486,2.493436,2.468573,2.435205,2.391583,2.336023,2.267071,2.183668,2.085308,1.972163,1.845163,1.705990,1.556982
2640,2.547264,2.546992,2.546119,2.544475,2.541753,2.537492,2.531047,2.521563,2.507957,2.488924,2.462960,2.428428,2.383653,2.327048,2.257267,2.173359,2.074915,1.962178,1.836105,1.698346,1.551197
2700,2.546720,2.546411,2.545426,2.543584,2.540563,2.535887,2.528893,2.518713,2.504263,2.484250,2.457203,2.421537,2.375653,2.318058,2.247507,2.163152,2.064671,1.952369,1.827224,1.690877,1.545582
2760,2.546097,2.545750,2.544645,2.542593,2.539260,2.534152,2.526593,2.515706,2.500407,2.479419,2.451306,2.414537,2.367588,2.309055,2.237793,2.153046,2.054575,1.942739,1.818538,1.683590,1.540033
2820,2.545390,2.545001,2.543769,2.541496,2.537836,2.532282,2.524144,2.512540,2.496390,2.474435,2.445276,2.407437,2.359467,2.300051,2.228134,2.143052,2.044638,1.933299,1.810045,1.676451,1.534544
2880,2.544591,2.544159,2.542793,2.540288,2.536288,2.530273,2.521545,2.509217,2.492216,2.469304,2.439120,2.400245,2.351301,2.291054,2.218538,2.133172,2.034854,1.924032,1.801716,1.669439,1.529193
2940,2.543695,2.543216,2.541710,2.538964,2.534612,2.528124,2.518796,2.505738,2.487888,2.464032,2.432847,2.392970,2.343095,2.282067,2.209004,2.123399,2.025212,1.914923,1.793542,1.662577,1.523933
3000,2.542694,2.542167,2.540515,2.537518,2.532803,2.525833,2.515895,2.502104,2.483410,2.458623,2.426461,2.385619,2.334856,2.273097,2.199537,2.113740,2.015719,1.905983,1.785538,1.655844,1.518700
3060,2.541583,2.541006,2.539202,2.535946,2.530859,2.523396,2.512843,2.498318,2.478786,2.453083,2.419971,2.378199,2.326593,2.264152,2.190143,2.104196,2.006371,1.897199,1.777679,1.649222,1.513564
3120,2.540355,2.539727,2.537766,2.534244,2.528776,2.520812,2.509639,2.494382,2.474020,2.447419,2.413384,2.370717,2.318311,2.255234,2.180822,2.094763,1.997160,1.888561,1.769951,1.642706,1.508568
3180,2.539006,2.538324,2.536201,2.532407,2.526550,2.518081,2.506286,2.490298,2.469116,2.441636,2.406705,2.363179,2.310015,2.246344,2.171569,2.085430,1.988067,1.880043,1.762337,1.636321,1.503726
3240,2.537529,2.536792,2.534504,2.530432,2.524181,2.515201,2.502782,2.486068,2.464078,2.435738,2.399939,2.355589,2.301704,2.237482,2.162381,2.076194,1.979094,1.871659,1.754868,1.630072,1.498938
