t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_surface
146700.000000,0.174420,0.173986,0.172676,0.170472,0.167341,0.163227,0.158043,0.151652,0.143823,0.134140,0.121730,0.104121,0.055039,nan,nan,nan,nan,nan,nan,nan,0.054246
146760.000000,0.174368,0.173933,0.172624,0.170422,0.167292,0.163180,0.157998,0.151610,0.143785,0.134106,0.121701,0.104099,0.055035,nan,nan,nan,nan,nan,nan,nan,0.054242
146820.000000,0.174315,0.173881,0.172572,0.170371,0.167243,0.163132,0.157954,0.151568,0.143747,0.134072,0.121672,0.104077,0.055030,nan,nan,nan,nan,nan,nan,nan,0.054238
146880.000000,0.174262,0.173828,0.172521,0.170320,0.167193,0.163085,0.157909,0.151527,0.143708,0.134038,0.121643,0.104054,0.055025,nan,nan,nan,nan,nan,nan,nan,0.054233
146940.000000,0.174210,0.173776,0.172469,0.170270,0.167144,0.163038,0.157864,0.151485,0.143670,0.134004,0.121614,0.104032,0.055021,nan,nan,nan,nan,nan,nan,nan,0.054229
147000.000000,0.174157,0.173724,0.172417,0.170219,0.167095,0.162991,0.157820,0.151443,0.143632,0.133971,0.121585,0.104010,0.055016,nan,nan,nan,nan,nan,nan,nan,0.054225
147060.000000,0.174105,0.173671,0.172366,0.170168,0.167046,0.162944,0.157775,0.151402,0.143594,0.133937,0.121557,0.103988,0.055011,nan,nan,nan,nan,nan,nan,nan,0.054221
147120.000000,0.174052,0.173619,0.172314,0.170118,0.166997,0.162897,0.157731,0.151360,0.143556,0.133903,0.121528,0.103966,0.055006,nan,nan,nan,nan,nan,nan,nan,0.054216
147180.000000,0.174000,0.173567,0.172262,0.170067,0.166948,0.162850,0.157686,0.151318,0.143518,0.133869,0.121499,0.103944,0.055002,nan,nan,nan,nan,nan,nan,nan,0.054212
147240.000000,0.173947,0.173515,0.172211,0.170017,0.166900,0.162803,0.157642,0.151277,0.143480,0.133835,0.121470,0.103922,0.054997,nan,nan,nan,nan,nan,nan,nan,0.054208
