scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48.25_hm1,48.25,1,1.14,0.1369495172,False,
T48.25_hm1,48.25,1,1.16,0.1364303457,False,
T48.25_hm1,48.25,1,1.18,0.1358970059,False,
T48.25_hm1,48.25,1,1.2,0.1353489183,False,
T48.25_hm1,48.25,1,1.22,0.1347855908,False,
T48.25_hm1,48.25,1,1.24,0.1342066822,False,
T48.25_hm1,48.25,1,1.26,0.1336116576,False,
T48.25_hm1,48.25,1,1.28,0.1329999422,False,
T48.25_hm1,48.25,1,1.3,0.1323706542,False,
T48.25_hm1,48.25,1,1.32,0.1317232591,False,
T48.25_hm1,48.25,1,1.34,0.1310571327,False,
T48.25_hm1,48.25,1,1.36,0.1303714883,False,
T48.25_hm1,48.25,1,1.38,0.1296654716,False,
T48.25_hm1,48.25,1,1.4,0.128937718,False,
T48.25_hm1,48.25,1,1.42,0.1281875827,False,
T48.25_hm1,48.25,1,1.44,0.1274139687,False,
T48.25_hm1,48.25,1,1.46,0.126615648,False,
T48.25_hm1,48.25,1,1.48,0.1257911604,False,
T48.25_hm1,48.25,1,1.5,0.1249386224,False,
T48.25_hm1,48.25,1,1.52,0.1240567971,False,
T48.25_hm1,48.25,1,1.54,0.123143822,False,
T48.25_hm1,48.25,1,1.56,0.1221976119,False,
T48.25_hm1,48.25,1,1.58,0.1212154854,False,
T48.25_hm1,48.25,1,1.6,0.1201945943,False,
T48.25_hm1,48.25,1,1.62,0.1191323142,False,
T48.25_hm1,48.25,1,1.64,0.1180251606,False,
T48.25_hm1,48.25,1,1.66,0.1168691135,False,
T48.25_hm1,48.25,1,1.68,0.1156586958,False,
T48.25_hm1,48.25,1,1.7,0.1143886204,False,
T48.25_hm1,48.25,1,1.72,0.1130526936,False,
T48.25_hm1,48.25,1,1.74,0.1116430488,False,
T48.25_hm1,48.25,1,1.76,0.1101501297,False,
T48.25_hm1,48.25,1,1.78,0.1085601365,False,
T48.25_hm1,48.25,1,1.8,0.1068594165,False,
T48.25_hm1,48.25,1,1.82,0.1050289325,False,
T48.25_hm1,48.25,1,1.84,0.1030433892,False,
T48.25_hm1,48.25,1,1.86,0.1008677734,False,
T48.25_hm1,48.25,1,1.88,0.09844869299,False,
T48.25_hm1,48.25,1,1.9,0.09571593314,False,
T48.25_hm1,48.25,1,1.92,0.09255190699,False,
T48.25_hm1,48.25,1,1.94,0.08874888736,False,
T48.25_hm1,48.25,1,1.96,0.0838611297,False,
T48.25_hm1,48.25,1,1.98,0.07656345851,False,
T48.25_hm1,48.25,1,2,0.05235211276,False,
T48.5_hm1,48.5,1,0,0.1500000008,False,
T48.5_hm1,48.5,1,0.02,0.1499963785,False,
T48.5_hm1,48.5,1,0.04,0.1499855105,False,
T48.5_hm1,48.5,1,0.06,0.1499673017,False,
T48.5_hm1,48.5,1,0.08,0.1499417816,False,
T48.5_hm1,48.5,1,0.1,0.1499089988,False,
T48.5_hm1,48.5,1,0.12,0.1498689435,False,
T48.5_hm1,48.5,1,0.14,0.1498216032,False,
T48.5_hm1,48.5,1,0.16,0.149766835,False,
T48.5_hm1,48.5,1,0.18,0.1497047284,False,
T48.5_hm1,48.5,1,0.2,0.1496352853,False,
T48.5_hm1,48.5,1,0.22,0.1495584842,False,
T48.5_hm1,48.5,1,0.24,0.1494742865,False,
T48.5_hm1,48.5,1,0.26,0.1493825423,False,
T48.5_hm1,48.5,1,0.28,0.1492833592,False,
T48.5_hm1,48.5,1,0.3,0.1491767057,False,
T48.5_hm1,48.5,1,0.32,0.1490625474,False,
T48.5_hm1,48.5,1,0.34,0.1489407957,False,
T48.5_hm1,48.5,1,0.36,0.1488113582,False,
